Snake Man Stage	Mega Man 3 (The Wily Wars)	Mega Man	https://youtu.be/7UTkZBIpcUE
Spark Man Stage	Mega Man 3 (The Wily Wars)	Mega Man	https://youtu.be/7BubjCA1t3E
Top Man Stage	Mega Man 3 (The Wily Wars)	Mega Man	https://youtu.be/ovS6Nnn9qW4
Boss Battle	Mega Man 3 (The Wily Wars)	Mega Man	https://youtu.be/D70MWiTU3EM
Wily Fortress 1	Mega Man 3 (The Wily Wars)	Mega Man	https://youtu.be/q91bzJAOINk
Wily Fortress 2	Mega Man 3 (The Wily Wars)	Mega Man	https://youtu.be/tkmHBWoB4vs
Wily Fortress 3	Mega Man 3 (The Wily Wars)	Mega Man	https://youtu.be/p9iQuQl9JsU
Wily Stage Boss	Mega Man 3 (The Wily Wars)	Mega Man	https://youtu.be/P9u27eh9bZU
Credits	Mega Man 3 (The Wily Wars)	Mega Man	https://youtu.be/OH4-Lvxycbg
Title Screen	Mega Man 4	Mega Man	https://youtu.be/Rwc_vVsixyc
Bright Man Stage	Mega Man 4	Mega Man	https://youtu.be/xf4zUAKB08g 
Dive Man Stage	Mega Man 4	Mega Man	https://youtu.be/6bXE8ldC2DA 
Drill Man Stage	Mega Man 4	Mega Man	https://youtu.be/Tud96HogGbo
Dust Man Stage	Mega Man 4	Mega Man	https://youtu.be/o65s78WI3oI
Pharaoh Man Stage	Mega Man 4	Mega Man	https://youtu.be/Ok5I0Yp-7fo
Ring Man Stage	Mega Man 4	Mega Man	https://youtu.be/-_cjwXYBdOo
Skull Man Stage	Mega Man 4	Mega Man	https://youtu.be/V-z1HLxLJto
Toad Man Stage	Mega Man 4	Mega Man	https://youtu.be/xcveCmdLaNI
Cossack Fortress 1	Mega Man 4	Mega Man	https://youtu.be/AUCLT7cj4FU
Password Screen	Mega Man 4	Mega Man	https://youtu.be/N6Y9jDATtEQ
Wily Fortress 1	Mega Man 4	Mega Man	https://youtu.be/vOOst7LsvgI
Wily Fortress 2	Mega Man 4	Mega Man	https://youtu.be/g1Txs_rI0bk
Wily Battle	Mega Man 4	Mega Man	https://youtu.be/iO2FAI59ZME
Ending	Mega Man 4	Mega Man	https://youtu.be/vG6DQz1FKp4
Crystal Man Stage	Mega Man 5	Mega Man	https://youtu.be/YNMI-Vkrp_Q
Gravity Man Stage	Mega Man 5	Mega Man	https://youtu.be/nPiKZ4AZR8A
Gyro Man Stage	Mega Man 5	Mega Man	https://youtu.be/FZWDWJNYEhk
Napalm Man Stage	Mega Man 5	Mega Man	https://youtu.be/vLI6FzBY_JA
Star Man Stage	Mega Man 5	Mega Man	https://youtu.be/zCJss_gW2Qw
Stone Man Stage	Mega Man 5	Mega Man	https://youtu.be/9o8VHKE2lpM
Wave Man Stage	Mega Man 5	Mega Man	https://youtu.be/ZI0_v340OPM
Charge Man Stage	Mega Man 5	Mega Man	https://youtu.be/C75Q7bdQAQA
Wily Fortress	Mega Man 5	Mega Man	https://youtu.be/b5YIJ_-WlNM
Proto Man Fortress  (Dark Man Stage)	Mega Man 5	Mega Man	https://youtu.be/6cuDFYZXw0c
Blizzard Man Stage	Mega Man 6	Mega Man	https://youtu.be/93q61LT2Vuk
Centaur Man Stage	Mega Man 6	Mega Man	https://youtu.be/o0h5kOuxuFM
Flame Man Stage	Mega Man 6	Mega Man	https://youtu.be/eKHVUupbqx0
Knight Man Stage	Mega Man 6	Mega Man	https://youtu.be/hBZL_Iqheeg
Plant Man Stage	Mega Man 6	Mega Man	https://youtu.be/WN_7Wy0RT00
Tomahawk Man Stage	Mega Man 6	Mega Man	https://youtu.be/Hz-3Xd43OGo
Wind Man Stage	Mega Man 6	Mega Man	https://youtu.be/7u-LyAzviN4
Yamato Man Stage	Mega Man 6	Mega Man	https://youtu.be/n6ST9g8VAT8
Mr X Fortress	Mega Man 6	Mega Man	https://youtu.be/yERlXLbNq70
Wily Battle (Final Boss)	Mega Man 6	Mega Man	https://youtu.be/IgDFobO20YQ
Opening Stage (Ruined Street)	Mega Man 7	Mega Man	https://youtu.be/OoK9mkQcczo
Freeze Man Stage (Iceberg Area)	Mega Man 7	Mega Man	https://youtu.be/qTZOil4BFnk
Junk Man Stage (Forgotten Factory)	Mega Man 7	Mega Man	https://youtu.be/ri8MuT4M84s
Burst Man Stage (Medical Science Lab)	Mega Man 7	Mega Man	https://youtu.be/WeVVckMnI0E
Cloud Man Stage (Weather Research)	Mega Man 7	Mega Man	https://youtu.be/jSdbruDPLQ4
The Robot Museum	Mega Man 7	Mega Man	https://youtu.be/8kJy9r3-y2Q
Spring Man Stage (Boyoyon Paradise)	Mega Man 7	Mega Man	https://youtu.be/3KksczzImr0
Slash Man Stage (Jurassic Jungle)	Mega Man 7	Mega Man	https://youtu.be/20lxSw8w_lk
Shade Man Stage (Horror Fortress)	Mega Man 7	Mega Man	https://youtu.be/lLhrSSw_4vU
Turbo Man Stage (Giant Trailers)	Mega Man 7	Mega Man	https://youtu.be/fE9GuCypaew
Shade Man Stage (Ghouls 'N Ghosts)	Mega Man 7	Mega Man	https://youtu.be/HcbjBxeHxbg
Wily Stage 1 (Entrance)	Mega Man 7	Mega Man	https://youtu.be/dI6Zq6QD-rU
Wily Stage 2 (Turtle's Realm)	Mega Man 7	Mega Man	https://youtu.be/rkw2wWAvlto
Wily Stage 4 (The Hatches)	Mega Man 7	Mega Man	https://youtu.be/ac90R7jXaoA
Title Screen	Mega Man 8 (PS1)	Mega Man	https://youtu.be/Qay2EfxzeCU
